subject,behavior,count,total_duration_s,video_id
2nd Goby,INSIDE,0,0,g10
2nd Goby,EDGE,0,0,g10
2nd Goby,NEAR,0,0,g10
2nd Goby,AWAY,0,0,g10
2nd Goby,CONTACT,0,0,g10
2nd Goby,APART,0,0,g10
2nd Goby,EAT,0,NA,g10
2nd Goby,DEFENCE,0,NA,g10
2nd Goby,DASH,0,NA,g10
2nd Goby,OUT OF FRME,0,0,g10
2nd Goby,BLACK EYES,0,0,g10
2nd Goby,CHASE HETERO,0,NA,g10
2nd Goby,CHASE CON,0,NA,g10
2nd Goby,CHASE UNKNOWN,0,NA,g10
1st Shrimp,INSIDE,0,0,g100
1st Shrimp,EDGE,0,0,g100
1st Shrimp,NEAR,0,0,g100
1st Shrimp,AWAY,0,0,g100
1st Shrimp,CONTACT,0,0,g100
1st Shrimp,APART,0,0,g100
1st Shrimp,EAT,0,NA,g100
1st Shrimp,DEFENCE,0,NA,g100
1st Shrimp,DASH,0,NA,g100
1st Shrimp,OUT OF FRME,0,0,g100
1st Shrimp,BLACK EYES,0,0,g100
1st Shrimp,CHASE HETERO,0,NA,g100
1st Shrimp,CHASE CON,0,NA,g100
1st Shrimp,CHASE UNKNOWN,0,NA,g100
2nd Shrimp,INSIDE,0,0,g100
2nd Shrimp,EDGE,0,0,g100
2nd Shrimp,NEAR,0,0,g100
2nd Shrimp,AWAY,0,0,g100
2nd Shrimp,CONTACT,0,0,g100
2nd Shrimp,APART,0,0,g100
2nd Shrimp,EAT,0,NA,g100
2nd Shrimp,DEFENCE,0,NA,g100
2nd Shrimp,DASH,0,NA,g100
2nd Shrimp,OUT OF FRME,0,0,g100
2nd Shrimp,BLACK EYES,0,0,g100
2nd Shrimp,CHASE HETERO,0,NA,g100
2nd Shrimp,CHASE CON,0,NA,g100
2nd Shrimp,CHASE UNKNOWN,0,NA,g100
3rd Shrimp,INSIDE,0,0,g100
3rd Shrimp,EDGE,0,0,g100
3rd Shrimp,NEAR,0,0,g100
3rd Shrimp,AWAY,0,0,g100
3rd Shrimp,CONTACT,0,0,g100
3rd Shrimp,APART,0,0,g100
3rd Shrimp,EAT,0,NA,g100
3rd Shrimp,DEFENCE,0,NA,g100
3rd Shrimp,DASH,0,NA,g100
3rd Shrimp,OUT OF FRME,0,0,g100
3rd Shrimp,BLACK EYES,0,0,g100
3rd Shrimp,CHASE HETERO,0,NA,g100
3rd Shrimp,CHASE CON,0,NA,g100
3rd Shrimp,CHASE UNKNOWN,0,NA,g100
1st Goby,INSIDE,0,0,g100
1st Goby,EDGE,2,73.944,g100
1st Goby,NEAR,3,122.259,g100
1st Goby,AWAY,1,103.792,g100
1st Goby,CONTACT,6,262.831,g100
1st Goby,APART,6,37.158,g100
1st Goby,EAT,8,NA,g100
1st Goby,DEFENCE,0,NA,g100
1st Goby,DASH,0,NA,g100
1st Goby,OUT OF FRME,1,3.544,g100
1st Goby,BLACK EYES,0,0,g100
1st Goby,CHASE HETERO,0,NA,g100
1st Goby,CHASE CON,0,NA,g100
1st Goby,CHASE UNKNOWN,0,NA,g100
2nd Goby,INSIDE,0,0,g100
2nd Goby,EDGE,0,0,g100
2nd Goby,NEAR,0,0,g100
2nd Goby,AWAY,1,300,g100
2nd Goby,CONTACT,1,185.332,g100
2nd Goby,APART,2,114.666,g100
2nd Goby,EAT,3,NA,g100
2nd Goby,DEFENCE,0,NA,g100
2nd Goby,DASH,0,NA,g100
2nd Goby,OUT OF FRME,2,117.117,g100
2nd Goby,BLACK EYES,0,0,g100
2nd Goby,CHASE HETERO,0,NA,g100
2nd Goby,CHASE CON,0,NA,g100
2nd Goby,CHASE UNKNOWN,0,NA,g100
1st Shrimp,INSIDE,0,0,g101
1st Shrimp,EDGE,0,0,g101
1st Shrimp,NEAR,0,0,g101
1st Shrimp,AWAY,0,0,g101
1st Shrimp,CONTACT,0,0,g101
1st Shrimp,APART,0,0,g101
1st Shrimp,EAT,0,NA,g101
1st Shrimp,DEFENCE,0,NA,g101
1st Shrimp,DASH,0,NA,g101
1st Shrimp,OUT OF FRME,0,0,g101
1st Shrimp,BLACK EYES,0,0,g101
1st Shrimp,CHASE HETERO,0,NA,g101
1st Shrimp,CHASE CON,0,NA,g101
1st Shrimp,CHASE UNKNOWN,0,NA,g101
2nd Shrimp,INSIDE,0,0,g101
2nd Shrimp,EDGE,0,0,g101
2nd Shrimp,NEAR,0,0,g101
2nd Shrimp,AWAY,0,0,g101
2nd Shrimp,CONTACT,0,0,g101
2nd Shrimp,APART,0,0,g101
2nd Shrimp,EAT,0,NA,g101
2nd Shrimp,DEFENCE,0,NA,g101
2nd Shrimp,DASH,0,NA,g101
2nd Shrimp,OUT OF FRME,0,0,g101
2nd Shrimp,BLACK EYES,0,0,g101
