video_id,subject,behavior,modifiers,count,total_duration_s,duration_mean_s,duration_std_dev,inter_event_intervals_mean_s,inter_event_intervals_std_dev,percent_of_total_length
g10,3rd Shrimp,OUT OF FRME,,0,0,0,NA,-,-,0
g10,3rd Shrimp,BLACK EYES,,0,0,0,NA,-,-,0
g100,1st Goby,INSIDE,,0,0,0,NA,-,-,0
g100,1st Goby,BLACK EYES,,0,0,0,NA,-,-,0
g100,1st Goby,OUT OF FRME,,1,3.544,3.544,NA,NA,NA,1.2
g100,1st Goby,APART,,6,37.158,6.193,7.393,47.665,43.488,12.4
g100,1st Goby,EDGE,,2,73.944,36.972,35.596,105.263,NA,24.6
g100,1st Goby,AWAY,,1,103.792,103.792,NA,NA,NA,34.6
g100,1st Goby,NEAR,,3,122.259,40.753,68.097,88.87,37.797,40.8
g100,1st Goby,CONTACT,,6,262.831,43.805,40.028,7.152,7.838,87.6
g100,1st Shrimp,INSIDE,,0,0,0,NA,-,-,0
g100,1st Shrimp,EDGE,,0,0,0,NA,-,-,0
g100,1st Shrimp,NEAR,,0,0,0,NA,-,-,0
g100,1st Shrimp,AWAY,,0,0,0,NA,-,-,0
g100,1st Shrimp,CONTACT,,0,0,0,NA,-,-,0
g100,1st Shrimp,APART,,0,0,0,NA,-,-,0
g100,1st Shrimp,OUT OF FRME,,0,0,0,NA,-,-,0
g100,1st Shrimp,BLACK EYES,,0,0,0,NA,-,-,0
g100,2nd Goby,INSIDE,,0,0,0,NA,-,-,0
g100,2nd Goby,EDGE,,0,0,0,NA,-,-,0
g100,2nd Goby,NEAR,,0,0,0,NA,-,-,0
g100,2nd Goby,BLACK EYES,,0,0,0,NA,-,-,0
g100,2nd Goby,APART,,2,114.666,57.333,77.13,185.334,NA,38.2
g100,2nd Goby,OUT OF FRME,,2,117.117,58.558,68.464,181.227,NA,39
g100,2nd Goby,CONTACT,,1,185.332,185.332,NA,NA,NA,61.8
g100,2nd Goby,AWAY,,1,300,300,NA,NA,NA,100
g100,2nd Shrimp,INSIDE,,0,0,0,NA,-,-,0
g100,2nd Shrimp,EDGE,,0,0,0,NA,-,-,0
g100,2nd Shrimp,NEAR,,0,0,0,NA,-,-,0
g100,2nd Shrimp,AWAY,,0,0,0,NA,-,-,0
g100,2nd Shrimp,CONTACT,,0,0,0,NA,-,-,0
g100,2nd Shrimp,APART,,0,0,0,NA,-,-,0
g100,2nd Shrimp,OUT OF FRME,,0,0,0,NA,-,-,0
g100,2nd Shrimp,BLACK EYES,,0,0,0,NA,-,-,0
g100,3rd Shrimp,INSIDE,,0,0,0,NA,-,-,0
g100,3rd Shrimp,EDGE,,0,0,0,NA,-,-,0
g100,3rd Shrimp,NEAR,,0,0,0,NA,-,-,0
g100,3rd Shrimp,AWAY,,0,0,0,NA,-,-,0
g100,3rd Shrimp,CONTACT,,0,0,0,NA,-,-,0
g100,3rd Shrimp,APART,,0,0,0,NA,-,-,0
g100,3rd Shrimp,OUT OF FRME,,0,0,0,NA,-,-,0
g100,3rd Shrimp,BLACK EYES,,0,0,0,NA,-,-,0
g101,1st Goby,BLACK EYES,,0,0,0,NA,-,-,0
g101,1st Goby,INSIDE,,1,20.744,20.744,NA,NA,NA,6.9
g101,1st Goby,NEAR,,5,42.055,8.411,13.937,40.1,54.264,14
g101,1st Goby,OUT OF FRME,,3,58.771,19.59,10.701,55.264,73.936,19.6
g101,1st Goby,EDGE,,5,63.657,12.731,6.651,45.62,73.347,21.2
g101,1st Goby,CONTACT,,5,92.788,18.558,16.044,38.337,57.043,30.9
g101,1st Goby,AWAY,,2,173.532,86.766,47.974,60.27,NA,57.8
g101,1st Goby,APART,,5,207.203,41.441,49.886,12.024,7.643,69.1
