"","stroke","stage","emmean","lower.HPD","upper.HPD"
"1","2","During",0.505505824630394,0.348697710797378,0.669860629703228
"2","4","During",0.589373470569205,0.412463422728122,0.748380121526551
"3","control","During",0.662482432808203,0.485399254386506,0.81246137747674
"4","2","Post",0.525600898411178,0.356219684208628,0.695534325749786
"5","4","Post",0.653855333371385,0.486155061251723,0.80333232506932
"6","control","Post",0.685875945812823,0.49823744408125,0.849888929968897
"7","2","Pre",0.664868199020041,0.484096866294782,0.81743796683138
"8","4","Pre",0.656708786494762,0.485324031850618,0.805191488089388
"9","control","Pre",0.595058418407654,0.415666953079429,0.766959531737409
