"","stroke","stage","emmean","lower.HPD","upper.HPD"
"1","2","During",0.666778725343317,0.514111857100839,0.803936408163182
"2","4","During",0.693927020536606,0.540126688560229,0.826407601702099
"3","control","During",0.670914189955683,0.525965079814473,0.812372968369681
"4","2","Post",0.703132351712581,0.555038454393875,0.834106691893689
"5","4","Post",0.740466926589976,0.604156017840068,0.85965265233343
"6","control","Post",0.712610566247083,0.571026922218522,0.841536056274494
"7","2","Pre",0.64890156637176,0.491861593584597,0.790045937891022
"8","4","Pre",0.712268571858783,0.565115271221418,0.839991566369196
"9","control","Pre",0.724572608619195,0.579458427112834,0.852294716664604
