Behavioural measure,Trend per additional prior boat trial,Lower 95% CrI,Upper 95% CrI
Goby: time outside burrow,0.025441217301209122,-0.008910384448116353,0.057620086697172244
Shrimp: time outside burrow,0.007750419175212643,-0.019708195562817193,0.036752988574101066
Shrimp–goby contact,-0.014140865596823933,-0.04618404495113402,0.018325078712160787
