Behavioural measure,Model,elpd_loo,SE (elpd_loo),looic,elpd_diff,SE (elpd_diff)
Goby: time outside burrow,Non-cumulative model,-122.68705517176261,20.223761902191207,245.37411034352522,0,0
Goby: time outside burrow,Cumulative-sum model,-123.5970643246991,20.291766430903476,247.1941286493982,-0.9100091529365368,1.4378868295013478
Shrimp: time outside burrow,Non-cumulative model,-34.98898624137787,22.24480644395889,69.97797248275575,0,0
Shrimp: time outside burrow,Cumulative-sum model,-36.139869572251584,22.429760411513396,72.27973914450317,-1.1508833308737207,1.7219218493859205
Shrimp–goby contact,Cumulative-sum model,-26.004948629591475,23.308794246034093,52.00989725918295,0,0
Shrimp–goby contact,Non-cumulative model,-27.516101005661397,23.375186315075112,55.032202011322795,-1.5111523760699326,1.851774401773202
