burrow,stage,boat_id,stroke,site,goby_number,shrimp_species,goby_total,goby_out,burrow_stage,shrimp_out,shrimp_total,shrimp_number,shrimp_contact
9,During,B,control,SITE 1,1,mannarensis,299.99800000000005,0.004836698911326075,9 During,0.10504310948408652,299.93399999999997,1,0.9966566443776292
87,Pre,B,2,SITE 4,1,mannarensis,300,1,87 Pre,0.3066323988006247,299.9895,2,0.2423836865307211
87,Post,B,2,SITE 4,1,mannarensis,299.99399999999997,0.9065581311626233,87 Post,0,300,2,0.10352138028507048
88,During,C,2,SITE 4,1,unknown,299.999,0,88 During,0,300,1,1
88,Pre,C,2,SITE 4,1,unknown,300,0,88 Pre,0,300,1,1
88,Post,C,2,SITE 4,1,unknown,299.998,0.0267235114900766,88 Post,0,300,1,0.9816765445102967
89,Pre,D,2,SITE 4,1,mannarensis,299.996,0.9724696329284391,89 Pre,0,299.99800000000005,1,0.031746878312522084
89,Post,D,2,SITE 4,1,mannarensis,300,0,89 Post,0.025067168010026862,299.994,1,1
89,During,D,2,SITE 4,1,mannarensis,300,0,89 During,0.04662550919042888,299.98600000000005,1,1
90,Pre,E,2,SITE 4,2,mannarensis,299.996,0.5096251283350445,90 Pre,0.5024968830631988,299.974,2,0.9738991734738267
90,Post,E,2,SITE 4,2,mannarensis,299.9995,0.19790366317277194,90 Post,0.17136108758992688,299.966,2,1
9,Pre,B,control,SITE 1,1,mannarensis,299.98,0,9 Pre,0.007417012793930383,299.98600000000005,1,1
90,During,E,2,SITE 4,2,mannarensis,299.999,0.08529361764539213,90 During,0.048315854040683524,299.97400000000005,2,1
91,During,F,2,SITE 4,1,unknown,299.99499999999995,0.6980416340272338,91 During,0.13292630891186807,299.98199999999997,2,0.48070374858121917
91,Pre,F,2,SITE 4,1,unknown,299.997,0.1054477211438781,91 Pre,0.23090026601950808,299.978,2,1
91,Post,F,2,SITE 4,1,unknown,299.998,0.2757751718344789,91 Post,0.274213094231997,299.9565,2,0.8619664366107276
92,Pre,G,2,SITE 4,1,mannarensis,300,1,92 Pre,0.8108450924898076,299.979,2,0.7888020907119654
92,During,G,2,SITE 4,1,mannarensis,299.998,0.04464363095753972,92 During,0.5834521064940997,299.9415,2,0.9831815545436969
92,Post,G,2,SITE 4,1,mannarensis,299.99899999999997,0.8132093773645913,92 Post,0.8277443369633888,299.9495,2,0.9220962559001573
93,During,H,2,SITE 4,1,mannarensis,299.996,0.2890471872958306,93 During,0.016271247462305446,299.977,2,0.7123221232212322
93,Pre,H,2,SITE 4,1,mannarensis,299.99800000000005,1,93 Pre,0.44959330622041466,299.98,2,0.42307846156923135
93,Post,H,2,SITE 4,1,mannarensis,299.992,0.4260680284807594,93 Post,0.20535712795729255,299.61949999999996,2,0.9418508612246191
10,Post,C,control,SITE 1,1,unknown,299.98900000000003,0.9019797392571061,10 Post,0.31397343299156383,299.95849999999996,2,0.437824179633852
94,Post,A,4,SITE 2,2,mannarensis,299.997,0.5119751197511975,94 Post,0.2813415136196434,299.98949999999996,2,0.7806998391653263
94,Pre,A,4,SITE 2,2,mannarensis,300,0.5,94 Pre,0.3870082204932296,299.98199999999997,2,1
94,During,A,4,SITE 2,2,mannarensis,299.9955,0.29144603835724203,94 During,0,300,2,0.988333255555037
95,Pre,B,4,SITE 2,1,mannarensis,299.997,0.8650119834531678,95 Pre,0.6481764662197287,296.23799999999994,2,0.8442368847376948
95,During,B,4,SITE 2,1,mannarensis,299.99800000000005,0.011406742711618074,95 During,0.2620884735077867,299.9655,2,0.9865166217220723
95,Post,B,4,SITE 2,1,mannarensis,300,0,95 Post,0.1960314020934729,299.97999999999996,2,1
96,Post,C,4,SITE 2,1,mannarensis,299.994,0.03216397661286558,96 Post,0.0037484582819427314,299.99,2,0.9716594331886638
96,Pre,C,4,SITE 2,1,mannarensis,300,1,96 Pre,0.6879024528474867,299.9575,2,0.6799655984519304
96,During,C,4,SITE 2,1,mannarensis,299.99399999999997,0.062167910024867164,96 During,0.03370758424812569,299.977,2,0.9400558674115654
97,Post,D,4,SITE 2,1,mannarensis,299.99,0.04353145104836827,97 Post,0.04161026837806301,299.95,1,0.9589825129835929
10,During,C,control,SITE 1,1,unknown,299.989,0.7764118017660648,10 During,0.06204404502172583,299.98850000000004,2,0.2696398867958492
97,During,D,4,SITE 2,1,mannarensis,299.99399999999997,0.026840536810736212,97 During,0.00500355015384,299.987,1,0.9790863878185042
97,Pre,D,4,SITE 2,1,mannarensis,300,0,97 Pre,0,299.99,1,1
98,Pre,E,control,SITE 1,1,bellulus,299.99600000000004,0.9477193029240389,98 Pre,0.14806555431664808,299.9955,2,0.36283029496961633
98,Post,E,control,SITE 1,1,bellulus,299.99,0.8383246108203607,98 Post,0.45931556027050346,300.6985,2,0.5859972932611536
98,During,E,control,SITE 1,1,bellulus,256.289,0.8839084002824936,98 During,0.3936078721574431,299.994,2,0.9999966666666668
100,Post,G,control,SITE 1,1,mannarensis,299.997,0.03608369417027503,100 Post,0,299.9805,2,0.9664397762651752
100,Pre,G,control,SITE 1,1,mannarensis,299.99399999999997,0.16497329946598935,100 Pre,0.07341897908530072,299.9565,2,0.9491764972549908
10,Pre,C,control,SITE 1,1,unknown,299.99,0.5655621854061802,10 Pre,0.034847650681866946,300.6085,2,0.6612132242644853
100,During,G,control,SITE 1,1,mannarensis,299.996,0.09844131255083402,100 During,0.017504977399913906,297.34400000000005,2,0.9055730185767287
101,During,H,control,SITE 1,1,mannarensis,300,1,101 During,0.7431486413958405,299.977,2,0.4833182777275924
101,Pre,H,control,SITE 1,1,mannarensis,299.991,0.984932881319773,101 Pre,0.6779470887476915,299.974,2,0.6504754364765198
101,Post,H,control,SITE 1,1,mannarensis,299.994,0.968322699787329,101 Post,0.5530183224714688,297.831,2,0.6460469186216092
102,Pre,A,2,SITE 2,1,mannarensis,299.99100000000004,0.18927901170368444,102 Pre,0,299.99600000000004,1,0.8190230471276091
102,Post,A,2,SITE 2,1,mannarensis,299.986,0.6418899548645604,102 Post,0,299.998,1,0.3594629190111736
102,During,A,2,SITE 2,1,mannarensis,299.99,0.6358245274842494,102 During,0.01252350031333751,299.99600000000004,1,0.3681540297472616
103,Post,B,2,SITE 2,1,mannarensis,299.999,0.3989879966266554,103 Post,0.34444766695669277,299.97299999999996,2,0.9313357511433487
103,During,B,2,SITE 2,1,mannarensis,299.998,0.49498663324422165,103 During,0.5145353682848932,299.958,2,0.5951701562390621
103,Pre,B,2,SITE 2,1,mannarensis,299.99699999999996,0.9817431507648411,103 Pre,0.5227591310710601,299.9785,2,0.5458689525168298
104,Post,C,2,SITE 2,1,mannarensis,299.995,0.9851630860514341,104 Post,0.5075473207677998,299.97400000000005,2,0.5673120193605807
104,Pre,C,2,SITE 2,1,mannarensis,299.997,1,104 Pre,0.16492379593578324,299.984,2,0.3868599866660381
104,During,C,2,SITE 2,1,mannarensis,299.996,0.858304777397032,104 During,0.35623947864059863,299.985,2,0.5230920515341921
105,Pre,D,2,SITE 2,1,mannarensis,300,1,105 Pre,0.7768453159767654,299.98249999999996,2,0.7505795997553264
105,During,D,2,SITE 2,1,mannarensis,299.995,0.6518508641810697,105 During,0.2205919120465902,299.97700000000003,2,0.5742398181296959
105,Post,D,2,SITE 2,1,mannarensis,299.996,0.9458259443459248,105 Post,0.4396168360135478,299.976,2,0.46238528746054014
106,Post,E,2,SITE 5,1,mannarensis,299.987,0.8414097944244249,106 Post,0.18801994176152226,299.97349999999994,2,0.8318971982866381
106,Pre,E,2,SITE 5,1,mannarensis,299.992,0.8341689111709645,106 Pre,0.3547361718583315,299.968,2,0.7057669310966264
